,"\"Espero que a nadie se le haya olvidado que LEO MESSI ES CAMPE\\u00d3N DEL MUNDO\""
,"\"50% en la subscripci\\u00f3n de telegram, subo contenido explicito y rico por all\\u00e1\\ud83d\\udd25 pregunta al privado papi\\n\\nLoverFans en 5$? Tambi\\u00e9n te lo tengo, subscribete \\u2757\\ud83d\\udc47\\ud83c\\udffc\\nhttps://t.co/w63BXdX68X\\n\\n#onlyfans #Messi\\ud80c\\udcf5 #loverfans #culonas https://t.co/vGveF2a80S\""
,"\"@afa @lioscaloni @Ieomessiok si contamos los numeros 3 (,tercera copa mundial para argentina) y la famosa carta 5 copas (aparece 5 veces el numero 3) y sumando y desglosando todos los numeros suman 10 (messi, aimar, maradona) dibu se anticipo a darnos la estrella tercera https://t.co/IoR02kdsju\""
,"\"\\u00bfSab\\u00e9is que esto no se queda en el Mundial? Probablemente gane su octavo (!) Bal\\u00f3n de Oro en la siguiente entrega.\\n\\nNo somos conscientes de lo que hemos vivido y estamos viviendo con Messi, es \\u00fanico.\""
,"\"Vieron q todo el gobierno de #cfkdelincuente est\\u00e1n nombrando a Maradona y niegan Messi. Pasa q L\\u00edo no quiere ir a la rosada y el resto, salv\\u00f3 uno, est\\u00e1 con el. Parece q el tema de respiradores pesa...\""
,"\"Por Dios, no se que tatuarme ya, si 3 estrellas, la fecha, el himno, Messi levantando la copa o la cara de culo de Mbapp\\u00e9\""
,"\"\\u00bfQu\\u00e9 habr\\u00eda pasado si Messi quita el 'bisht', la t\\u00fanica que le puso el emir de Qatar para recoger la #FIFAWorldCup?\\n\\nV\\u00eda @A3Noticias \\nhttps://t.co/pVkfdzq78R\""
,"\"Los #Antimessi son reales pero tambien mis fans, comenta #Messi. \\ud83d\\udc47\\ud83d\\udc47\\ud83d\\udc47 los leo.\""
,"\"Ahora, todav\\u00eda con la piel sensible de tanta emoci\\u00f3n, solo queda cerrar los ojos y descomprimir las tensiones mientras se escucha y se ven las repercusiones de una jornada que se escribi\\u00f3 al instante en los libros de la historia del deporte.\\n\\nhttps://t.co/mgB05E46Hy\""
,"\"ya me he cansado de ver tanto messi porfa\""
,"\"Messi, mejor jugador de la final y del Mundial 2022 ... https://t.co/ueIRjpYwlk #deportes #principales\""
,"\"No puedo pedir mas nada en mi vida, vi a mi equipo ganar 2 COPAS LIBERTADORES, VI LA ERA GALLARDO, SOY CONTEMPORANEO A MESSI, VI A MI SELECCION GANAR LA COPA AMERICA A BRASIL, LA FINALISSIMA A ITALIA, Y LO QUE TANTO SO\\u00d1E..SE LOGRO, VI A MI SELECCION SER CAMPEON DEL MUNDO!\""
,"\"Se\\u00f1ores y Ronaldi\\u00f1o no gano todas copas que gano Messi??#PelaezdeFranciscoenLaW\""
,"\"toy living con los tiktoks de messi autista\""
,"\"Creen que con esta copa Messi super\\u00f3 al Diego?\""
,"\"quien para ir a bs as al obelisco dios, necesito ver al enano con esa copa, que feliz que estoy por vos messi te amo con todo mi coraz\\u00f3n desde que tengo 3 a\\u00f1os y conoc\\u00ed al f\\u00fatbol\""
,"\"Las palabras de Messi en 2016 retumban en mi cabeza https://t.co/CzLsweKEJZ\""
,"\"Buenas tardes les hago acordar que messi es campe\\u00f3n del mundo\""
,"\"Amo q haya ganado Argentina por Messi y por las swifties https://t.co/AsueeHjuVk\""
,"\"Tapa de los Diarios Clar\\u00edn y La Nazion. La batalla cultural en su m\\u00e1xima expresi\\u00f3n, desde el poder real para ningunear a la selecci\\u00f3n, a Messi y a la alegr\\u00eda y festejo de todos los pueblos del territorio argentino.\\n#clarinlatenesadentro #lanazionlatnesadentro  #clarinesmafia https://t.co/shHzUxhawh\""
,"\"Vengo a presumir la foto que me saqu\\u00e9 junto a la copa en Catar \\ud83c\\uddf6\\ud83c\\udde6. La original, la de Messi y Maradona \\ud83c\\udde6\\ud83c\\uddf7\\n78-86-22\\n\\u2b50\\ufe0f\\u2b50\\ufe0f\\u2b50\\ufe0f https://t.co/fuRjskPs70\""
,"\"Messi dej\\u00f3 listos a todos con sus declaraciones, no es momento de pensar en los partidos o en lo qu\\u00e9 pas\\u00f3, sino de celebrar. #PelaezdeFranciscoenLaW\""
,"\"Esto lo recordaremos siempre, duela a quien le duela, vimos al mejor jugador de la historia quedar campe\\u00f3n del mundo.\\n\\nVivimos la \\u00e9poca de Messi, desde nuestra ni\\u00f1ez jugando en la canchita del barrio imagin\\u00e1ndonos ser \\u00e9l hasta ayer vi\\u00e9ndolo alzar la copa.\\n\\nGracias Messi\\u2764\\ufe0f\""
,"\"Los que llev\\u00e1is todo el a\\u00f1o criticando a Messi, y ahora sub\\u00eds fotito de que se lo merece (?), hacedme un favorcillo y meterse en la cueva jejee\""
,"\"\\u00bfHabr\\u00e1 reclamo formal? Medio franc\\u00e9s asegur\\u00f3 que gol de Lionel Messi debi\\u00f3 anularse https://t.co/FXCS6V5yWQ\""
,"\"Bueno,esta foto tiene un contexto a la actualidad ya que Messi es campe\\u00f3n del mundo.\\n\\nEn fin un dia tuve un conocido al que le dieron a guardar una botella de cerveza de la marca Budweiser firmada por el astro argentino, esta foto la estaba guardando para un momento especial!! https://t.co/JTNQDRtRnp\""
,"\"Mal d\\u00eda para ser anti Messi\""
,"\"Closs antes de bardear a Scaloni y a Messi que se haga un peeling facial y neuronal.\""
,"\"ahora todos son fan de messi\""
,"\"Otra foto de Messi que veo y me corto\""
,"\"Messi y los pibes de River. El mundial m\\u00e1s riverplatense posible. De n\\u00fa\\u00f1ez para el mundo. Argentina campe\\u00f3n. River es el pa\\u00eds.\""
,"\"Jaja que siga tomando ag\\u00fcita ese ego\\u00edsta que no ha felicitado a Messi. https://t.co/V8tGOToEi7\""
,"\"No se qu\\u00e9 pas\\u00f3 ayer despu\\u00e9s de las 2 de la tarde pero, que viva Messi pu\\u00f1eta\""
,"\"Ya a Leo Messi el \\u00fanico trofeo que le falta ser\\u00eda la @KingsLeague....@IbaiLlanos HAZLO.\""
,"\"La mochila de plomo que se sacaron de encima Messi y Dimaria  con este t\\u00edtulo mundial\\n Hubiera sido injusto que se retiraran sin haberla obtenido. Qu\\u00e9  paz.\""
,"\"\\ud83c\\udde6\\ud83c\\uddf7\\ud83c\\udfc6\\ud83c\\udde6\\ud83c\\uddf7\\ud83d\\ude0a\\ud83c\\udf89\\ud83c\\udf8a\\nArgentina gan\\u00f3 felicidades Messi \\narriba copa Mundial \\nSaludos en laferrere\\n#EnfrentadosSDP https://t.co/mknQi6CALV\""
,"\"Cuando crees que no es posible ser m\\u00e1s estupida, @gabicerru lo hace posible.\\nSu \\u201cfestejo\\u201d llamando viejo a Messi es hilarante.\""
,"\"- Los antimessi: \\\"El mundial estaba arreglado, lo compr\\u00f3 Messi, le dieron muchos penales \\ud83d\\ude2d\\\"\\n\\n- La realidad: https://t.co/pyGIjNt3CP\""
,"\"Lionel o Messi los nombres de 152 bautizados en Colombia este a\\u00f1o - https://t.co/TH130TyLIM @LeoMessiFanClub\""
,"\"\\ud83d\\udd0e Maiores Notas Sofascore em Copas do Mundo desde 1966 (ao menos 7 jogos disputados):\\n\\n8.74 - \\ud83c\\uddf3\\ud83c\\uddf1 Cruyff\\n8.20 - \\ud83c\\udde7\\ud83c\\uddf7 Pel\\u00e9\\n7.98 - \\ud83c\\udde9\\ud83c\\uddea Gerd M\\u00fcller\\n7.97 - \\ud83c\\udde9\\ud83c\\uddea Beckenbauer\\n7.96 - \\ud83c\\udff4\\udb40\\udc67\\udb40\\udc62\\udb40\\udc73\\udb40\\udc63\\udb40\\udc74\\udb40\\udc7f Jordan\\n7.92 - \\ud83c\\udde6\\ud83c\\uddf7 Messi\\n7.91 - \\ud83c\\uddee\\ud83c\\uddf9 Rivera\\n7.91 - \\ud83c\\udde9\\ud83c\\uddea Brehme\\n7.91 - \\ud83c\\udde6\\ud83c\\uddf7 Passarela\\n7.89 - \\ud83c\\uddf8\\ud83c\\uddea Andersson https://t.co/KnT9q6qmYG\""
,"\"Bueno a Messi solo le falta la libertadores, Leo y si te llama Roman?\""
,"\"Lionel Messi\\ud83c\\udde6\\ud83c\\uddf7\\ud83d\\udc10 is the first player ever to win the Golden Ball in 2 FIFA World Cup editions.\\n Otro r\\u00e9cords m\\u00e1s de Lionel Messi, es el \\u00fanico jugador en ganar dos veces el bal\\u00f3n de oro en un mundial de f\\u00fatbol. \\nRompe y rompe r\\u00e9cords, todo un campe\\u00f3n mundial. Veremos qu\\u00e9 m\\u00e1s jaja. https://t.co/6HHeU9dl00\""
,"\"El que me diga que Mbappe (que es una bestia) tuvo mejor mundial que Messi sabe muy muy poquito de f\\u00fatbol. Messi es POR ESC\\u00c1NDALO el mejor jugador de este mundial\""
,"\"Desde que @fifacom_es entrega al Bal\\u00f3n de Oro al Mejor Jugador de cada #CopaMundialFIFA (1982), el pa\\u00eds que m\\u00e1s veces lo gan\\u00f3 fue #ARG (3 veces):\\n\\n\\ud83c\\udde6\\ud83c\\uddf7Diego MARADONA (1986)\\n\\ud83c\\udde6\\ud83c\\uddf7Lionel MESSI (2014)\\n\\ud83c\\udde6\\ud83c\\uddf7Lionel MESSI (2022) https://t.co/7ooSw5G38D\""
,"\"\\u00a1\\u00bfQu\\u00e9?! Canelo \\u00c1lvarez hablo del triunfo de Argentina despu\\u00e9s del round que se avent\\u00f3 con Messi. \\ud83e\\udd4a\\ud83c\\udde6\\ud83c\\uddf7\\u26bd https://t.co/7ANiQSvQmG\""
,"\"\\ud83c\\udde6\\ud83c\\uddf7 CAMPEONES DEL MUNDO \\ud83c\\udde6\\ud83c\\uddf7\\n\\nVAMOS ARGENTINA \\n\\nNo pod\\u00eda no subir poster sobre esta locura.\\n\\n#Messi\\ud80c\\udcf5 #FIFAWorldCup https://t.co/AvhIXoOPFs\""
,"\"Ac\\u00e1 tambi\\u00e9n firma de Messi ( no el Messi ) y va a tener algo m\\u00e1s con mis amigos/familia.\\n@otero_nacho @wiemeyer\""
,"\"como un huevo de mierda va a tener mas likes que Messi degollaria a todas las gallinas del pa\\u00eds con mis manos con tal de que Messi sea la foto m\\u00e1s likeada Y ENCIMA SE COMO HACERLO PORQUE MI ABUELA ME ENSE\\u00d1O\""
,"\"@Cloquis se volvi\\u00f3 tendencia mundial con su v\\u00eddeo de Messi...hasta Ag\\u00fcero le contest\\u00f3!\""
,"\"a mis hijos les voy a decir YO VI A MESSI LEVANTAR LA COPA DEL MUNDOOOOOOOOOOO\""
,"\"Lionel Messi y Angel Di Maria se unen a el MUY EXCLUSIVO grupo de jugadores que han ganado todos los grandes trofeos por equipo del f\\u00fatbol, falt\\u00e1ndole solo la #CopaLibertadores\""
,"\"El \\u00fanico que le quito un MVP a Messi https://t.co/6oLV99M2vu\""
,"\"#ArgentinaCampeonDelMundo A Lionel #Messi solo le falta anotar un gol en el per\\u00edodo 50-59 de minutos de un partido. Hizo goles en todas las otras decenas de los 90 reglamentarios, y ayer anot\\u00f3 por primera vez en una de las tres decenas de los 30 minutos suplementarios. #Messi2026\""
,"\"puedo morir en paz porq vi a messi ser campe\\u00f3n del mundo\""
,"\"Estoy tranquila y de repente MESSI TE AMO SOMOS CAMPEONESSSSSSSSS \\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\\ud83d\\udc99\""
,"\"Lamento el retiro de Tit\\u00ed Fern\\u00e1ndez; espero que Messi siga, agradezco que el Cabez\\u00f3n Rugeri haya quedado como@un boludo: fin de la historia de un comentarista de mierda con chapa de mundialista!!!\""
,"\"Lionel Messi en este Mundial:\\n7 Goles, 3 Asistencias  10 G/A \\u26bd\\ufe0f\\ud83c\\udd70\\ufe0f\\n\\nCristiano Ronaldo en 5 Mundiales:\\n8 Goles, 2 Asistencias  10 G/A \\u26bd\\ufe0f\\ud83c\\udd70\\ufe0f\\n\\nLa DIFERENCIA entre mi GOAT y el tuyo. https://t.co/udPPuzQnrJ\""
,"\"#Telenueve | El cartonero se arrodill\\u00f3 de la emoci\\u00f3n luego de que un hincha le regalara la camiseta de la Selecci\\u00f3n Argentina \\ud83c\\udde6\\ud83c\\uddf7\\ud83e\\udd70\\ud83d\\ude25\\n\\nhttps://t.co/MrEbPNifL5\""
,"\"imaginate decir que en tu cumple Messi gano la copa y Cbum gano el Mr.Olympia, y si lo puedo decir \\ud83e\\udef6\\ud83c\\udffc\""
,"\"Com a m\\u00e3o direita e pulso enfaixados por conta de impactos da final da copa. \\nERES UN CAMPE\\u00d3N, MESSI! \\ud83e\\udef6\\ud83c\\udffd\\ud83e\\udd79\""
,"\"ser\\u00eda hermoso que messi ma\\u00f1ana saque una listita de todos los periodistas que lo bardearon y remate con un \\\"para los que no creyeron, con el perdon de las damas...\\\" https://t.co/GplpMCFNSo\""
,"\"Ver\\u00e1s t\\u00fa cuando el seguidor promedio del Barca se d\\u00e9 cuenta de que Messi ya no es del Barca y que en menos de un mes, est\\u00e1 sonando la m\\u00fasica de la Europa League en el Camp Nou \\u2026\""
,"\"Messi que grande eres chabon!\\n\\nHay mejores, lo se. Pero este es el playlist que me relajo toda la Copa del Mundo, la comparto: \\nhttps://t.co/joSepnZ3Hq\""
,"\"Ni el pueblo festejando, ni el equipo celebrando, ni Messi con la copa. \\nUna publicidad. Eso son. https://t.co/u8Ux71JdUA\""
,"\"\\ud83c\\udde6\\ud83c\\uddf7El mensaje de Scaloni a Messi para el 2026: \\\"Hay que guardarle la 10\\\"\\n\\n\\ud83d\\udcac\\\"Se gan\\u00f3 el derecho de decidir qu\\u00e9 quiere hacer con su carrera\\\", consider\\u00f3 el DT campe\\u00f3n al referirse al capit\\u00e1n argentino.\\n\\n\\ud83d\\udcf2+INFO: https://t.co/1cnLWAKPyj\""
,"\"Tambien hay una realidad como un templo. \\nSIEMPRE EL TRIDENTE DE LA HISTORIA DEL FUTBOL FUE, ES Y SERA.\\nPELE-MARADONA-MESSI.\""
,"\"Creo que si bien est\\u00e1 ok que todo gire entorno a Messi, es justo hablar un poquito m\\u00e1s del Director T\\u00e9cnico de Argentina y lo que logr\\u00f3 conseguir con el equipo humano que escogi\\u00f3 para este Mundial.\""
,"\"Me destruye que Messi no vio campe\\u00f3n a Maradona y Maradona no vio campe\\u00f3n a Messi.\""
,"\"tu puedes ser mi Messi y yo tu Antonela\""
,"\"Sinceramente llore como nunca ayer, me descargue una banda porque te juro toda mi vida so\\u00f1aba con ver levantar a Messi la copa del mundo y al final lo logr\\u00f3.\""
,"\"#Qatar2022 #CopaMundialFIFA \\n\\nLegionarios, seleccionados y jugadores #salvadore\\u00f1os de #Primera dedicaron post en sus cuentas sociales, para declarar su admiraci\\u00f3n por el #argentino, tras salir #campe\\u00f3n. Ac\\u00e1, algunos post \\n\\nhttps://t.co/O6JvbijIV3\""
,"\"\\u00bfCrees que Messi gane su 8vo bal\\u00f3n de oro?\\n\\ud83d\\udd01 NO\\n\\u2764\\ufe0f Si https://t.co/vvLInDOlzv\""
,"\"Que hacemos los que tenemos un conocido que alguna vez compararon a Messi con un tal bicho? Porque estamos bobinas que todos tenemos a un amigo as\\u00ed de pelotudito\""
,"\"Todos los periodistas argentinos que tienen mas de 12 a\\u00f1os criticando a messi, vayan a la concha de su madre y tr\\u00e1guensela todita. Messi y argentina campeones del mundo, para ellos, para el pais, para mi, pero no para ustedes hijos de puta.\""
,"\"Y c\\u00f3mo dijo Messi: porque as\\u00ed es la vida, es levantarte e intentarlo e intentarlo otra vez\""
,"\"La prensa SIMP siempre vende la historia de Messi y antonella rocuzzo como una historia de \\\"amor fiel, desinteresado y verdadero desde ni\\u00f1os\\\" La parte que no cuentan es que, si bien se conoc\\u00edan desde ni\\u00f1os, no estuvieron juntos desde ah\\u00ed.. Antonella rocuzzo ya andaba con un CHAD+ https://t.co/6RU7N3X7pM\""
,"\"lo vi a messi levantar la del mundo\""
,"\"#Messi y #Ginobili los dos mejores deportistas argentinos, no solo por su talento, sino por su humanidad.\\nLos mejores ejemplos...\""
,"\"La vida de Messi desde peque\\u00f1o https://t.co/0AfIAYqIWk\""
,"\"Me acabo de dar cuenta de que adoro tanto este video porque me recuerda al libro de El guardi\\u00e1n entre el centeno, por como lo define. Sinceramente, me parece la mejor forma de definir a Messi. https://t.co/5pCRbrsVGI\""
,"\"LA FOTO DE MESSI LEVANTANDO LA COPA EST\\u00c1 A POCO DE ROMPER R\\u00c9CORD COMO LA PUBLICACI\\u00d3N DE INSTAGRAM CON M\\u00c1S LIKES VAYAN A IG Y QU\\u00cdTENLE LOS LIKES A ESTA FOTO RID\\u00cdCULA https://t.co/lUHGgJAGjP PARA QUE LA DE MESSI SEA LA FOTO M\\u00c1S LIKEADA\""
,"\"Levantarte un lunes y saber que no fue un sue\\u00f1o ver a Messi levantar la copa del  \\ud83c\\udf0f un domingo y consagrarnos campe\\u00f3n mundial \\ud83c\\udde6\\ud83c\\uddf7\""
,"\"La temporada pasada de Ronaldo fue muy buena y la se Messi no tanto\\n\\nHoy Ronaldo est\\u00e1 en el peor momento de su carrera y Messi se consagr\\u00f3 como el mejor jugador de la historia.\\n\\nEl f\\u00fatbol es lindo cuando hay revancha\""
,"\"La est\\u00fapida de pa\\u00f1uelo verde de Marina Abiuso preguntando si la gente se est\\u00e1 tatuando el 10 de Maradona o el 10 de Messi.\\nSuelten muchachas, y de paso celebren que el nefasto de Maradona jam\\u00e1s va a ser \\u00eddolo de todas las generaciones que nacieron despu\\u00e9s del 2000. https://t.co/H4mnNhZ3jG\""
,"\"No necesitaba demostrar algo m\\u00e1s en su carrera, pero quiso hacerlo. Constancia, raz\\u00f3n por la que siempre hay tiempo para alcanzar los sue\\u00f1os. Messi eligi\\u00f3 no bajar los brazos.\\n\\n https://t.co/YJ1wrEWtCM v\\u00eda @RPPNoticias\""
,"\"vi a Lionel Messi levantar la copa del mundo carajoooo https://t.co/Mt6OwmfbFO\""
,"\"El que Messi haya ganado estando yo en mis d\\u00edas fue la peor sincron\\u00eda del mundo porque desde ayer estoy llorando\""
,"\"Messi campe\\u00f3n del mundo y CBUM tricampe\\u00f3n del Mr.Olympia, domingo hist\\u00f3rico el de ayer\""
,"\"El mundial lo GANARON los 26 jugadores y el cuerpo tecnico, Diego ya fue, ahora LIONEL MESSI es el que llevo al Equipo a Triunfar.  El es el Capit\\u00e1n \\ud83c\\udfc6\\u26bd\\ud83c\\udde6\\ud83c\\uddf7\\ud83c\\udde6\\ud83c\\uddf7\""
,"\"El hist\\u00f3rico futbolista Lionel Messi sigue haciendo crecer su vitrina de t\\u00edtulos tras la copa del mundo de Qatar 2022\\n#Qatar2022 #LionelMessi\\ud80c\\udcf5 #SeleccionArgentina #FIFAWorldCup #Messi\\ud80c\\udcf5 \\nhttps://t.co/E4Q089Pgzl\""
,"\"EL MUNDIAL SE LO REGALARON A MESSI Y argentina SE VIO BENEFICIADA Y MANCHADA UNA VEZ M\\u00c1S ASQUEROSAMENTE COMO LAS DOS ANTERIORES jejejejejejeje\""
,"\"Parar de llorar Messi se merec\\u00eda el mundial y Argentina ha jugado bien lo siento si vuestro equipo ha perdido pero no vay\\u00e1is insultando el esfuerzo de los dem\\u00e1s a llorar a la llorera\\ud83c\\udde6\\ud83c\\uddf7\\u2764\\ufe0f\\ud83c\\udde6\\ud83c\\uddf7\\ud83c\\udde6\\ud83c\\uddf7\""
,"\"Su\\u00e1rez y Messi Best d\\u00fao \\ud83d\\ude2d\\ud83c\\uddfa\\ud83c\\uddfe\\ud83c\\udde6\\ud83c\\uddf7 https://t.co/l4FCjAEooO\""
,"\"El \\\"SOMOS CAMPEONES DEL MUNDO\\\" de Paredes abrazando a Messi, me destruye \\ud83d\\ude2d\\ud83c\\udde6\\ud83c\\uddf7\""
,"\"MESSI ES CAMPE\\u00d3N DEL MUNDO, todav\\u00eda no caigo\""
,"\"este a\\u00f1o fue demasiado bueno porque Benito, Mora y Feid sacaron joyas de \\u00e1lbumes y por fin messi gan\\u00f3 la copa del mundo y sin contar las cosas buenas que me pasaron este a\\u00f1o, incre\\u00edble 2022&lt;33\""
,"\"@Transfermarkt deber\\u00edan actualizar el valor de Lio Messi  y la plantilla de Argentina\""
,"\"No se que quiero m\\u00e1s si  ser Messi para estar con  Antonella o Antonella para estar con Messi \\ud83e\\udd72\\ud83e\\udd0d\\ud83d\\udc99\""
,"\"Y no, aqu\\u00ed no olvidamos a\\u00fan que Messi gan\\u00f3 el mundial\""
,"\"Su\\u00e1rez llam\\u00f3 a Messi en pleno festejo\\n\\nhttps://t.co/HietlMgd52\""
,"\"y yo no m olvido d los q le pegaban a messi en el piso x ac\\u00e1, en sus peores momentos, lo mataron x tuiter, no m olvido d los q se pon\\u00edan antimessi d nombre d usuario, ahora se hacen los boludos, pero yo no m olvido d ninguno\""
,"\"El quilombo y la mugre que qued\\u00f3 en el depa pero amo porque #Messi\\ud80c\\udcf5 #FIFAWorldCup #ARG\""
,"\"BUEN D\\u00cdA PARA TODOS, MENOS PARA LOS ANTI MESSI\""
,"\"Vi a Messi campe\\u00f3n del mundo el resto me chupa un huevo\""
,"\"Me sigue pareciendo surrealista, literalmente ayer Messi gano el mundial EL MUNDIAL \\ud83d\\udc10\\u2764\\ufe0f https://t.co/dloxiDXU8W\""
,"\"#Messi\\ud80c\\udcf5 campe\\u00f3nnnnnn juju\""
,"\"Todas las fotos y videos de Messi con la del mundo me ponen la piel de gallina! \\u2764\\ufe0f\\ud83c\\udde6\\ud83c\\uddf7\""
,"\"Ojal\\u00e1 me sigas preguntando 1000 veces:\\nPor qu\\u00e9 festejamos?, que ganamos? \\nAs\\u00ed te cuento otra vez..\\nQue Argentina sali\\u00f3 campe\\u00f3n despu\\u00e9s de 36 a\\u00f1os,\\nQue Messi gan\\u00f3 su primera copa del mundo.. https://t.co/NrxuFCN44n\""
,"\"Maradona 1986: 5 goles 5 asistencias \\nMessi 2022: 7 goles 3 asistencias \\nD10S\""
,"\"Yo era uno de esos que dec\\u00eda que Messi era malo, que en la selecci\\u00f3n no jugaba a nada, que era mejor cristiano pero este mundial y hace unos a\\u00f1os empec\\u00e9 a crecer a madurar y ver otro messi el messi que yo queria el mejor jugador del mundo ese que lo dio todo muchas gracias lio\\ud83c\\udde6\\ud83c\\uddf7\""
,"\"Todav\\u00eda no cambie el fondo de pantalla pq la \\u00fanica foto que vi por ah\\u00ed donde est\\u00e1n todos con la copa solo se ven el dibu, messi, dybala y alguno m\\u00e1s pero yo necesito una con juliaaaaaaaaaaaaan, una de los 3 pofavo (y la del kun y messi a caballito con la copa\\ud83d\\ude2d)\""
,"\"El #Vallenato que suena es: Tampa 5 by Desconocido #Valledupar #Vallenato #Messi #LeandroDiaz\\ud83d\\udc47https://t.co/kwqcd6vhGG\""
,"\"mbappe nunca ser\\u00e1 messi pero si est\\u00e1 en camino a ser el mejor jugador de copas del mundo de todos los tiempos\""
,"\"Le duela a quien le duela argentina fue mejor que Francia, y por eso gano la copa del mundo messi el mejor del mundo tambi\\u00e9n\""
,"\"Viste que Messi levant\\u00f3 la del mundo? Bueno, vos eras mi mundo volvemos?\""
,"\"\\ud83d\\udd25 \\u00a1IMPRESIONANTE CANTIDAD DE 'ME GUSTA' EN UNA FOTO\\n\\nMessi tambi\\u00e9n golea a Cristiano Ronaldo en las redes sociales\\n\\nhttps://t.co/a8B1nHOghO\""
,"\"Me duele que messi haya tenido que irse a la fuerza del bar\\u00e7a, esa copa del mundo ten\\u00eda que ser exhibida en el camp nou \\ud83d\\ude2d\""
,"\"Messi, te amo m\\u00e1s que a toda mi familia junta\""
